Unnamed: 0	Address2	Latitude	Longitude
638	đường Ba Đình, Phường Giang Văn Minh, Quận Ba Đình	210.337.815	1.058.140.539
639	Cổ Linh, Tư Đình, Long Biên	210.292.418	1.058.855.831
640	Bình Trị Đông A, Bình Tân, Gần chợ Mỹ Nga	107.722.116	106.584.926
641	Đường Thống Nhất, Phường 16, Quận Gò Vấp	108.456.188	1.066.647.941
642	đường Thống Nhất, Phường 16, Quận Gò Vấp	108.456.188	1.066.647.941
643	Đường Số 3, Phường 9, Quận Gò Vấp	108.468.759	1.066.512.685
644	Ngõ 277 Xuân Đỉnh, Quận ??	111.937.645	1.073.434.916
645	phố Thụy Khuê, Tây Hồ	210.434.142	1.058.211.387
646	Lạc Long Quân, Phường Tân Bình	115.190.638	1.068.856.933
647	Văn Cao, ...		
648	Ngõ Thông, ...		
649	Ngõ Thông, Đà Tấn,....		
650	Ô tô tráng,NotBlank		
651	 Ngõ Rộng Nông Thọ, Quận Ba Đình	210.337.815	1.058.140.539
652	Ngõ Rộng Nông Thoàng		
653	Phạm Văn Chiêu, Phường 14, Quận Gò Vấp	108.484.293	106.648.556
654	.route 2, Ba Đình	210.337.815	1.058.140.539
655	Con phố giá trị nhất nhì quận Ba Đình, Ngõ tránh xe máy	210.337.815	1.058.140.539
656	Hàng Xanh, Bình Thạnh	108.009.239	1.067.099.166
657	đường lớn, Ngô Chí Quốc, Bình Chiểu	108.825.488	1.067.211.209
658	đường 1C, khu Tên Lửa	107.478.829	1.066.118.492
659	Khâm Thiên, Đống Đa	21.019.454	1.058.385.705
660	Hào Nam, Đống Đa	210.252.222	1.058.272.153
661	đường Dương Văn Bé, ngõ, Phường Hai Bà Trưng	209.965.754	1.058.739.138
662	ngõ 71, Hoàng Văn Thái, Khương Trung, Hà Nội	209.955.245	105.827.168
663	đường Trường Thọ, Thành phố Thủ Đức	108.484.839	1.067.551.834
664	Phố Bạch Mai, Quận Hai Bà Trưng	210.021.807	1.058.508.154
665	Lạc Long Quân, Phường Tân Bình	115.190.638	1.068.856.933
666	False		
667	đường Thống Nhất, Phường 11, Quận Gò Vấp	108.394.408	1.066.653.068
668	Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận	107.917.429	1.066.748.587
669	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
670	Hồng Lạc, Quận Tân Bình	107.874.728	1.066.470.841
671	 Hồng Lạc, Phường Tân Bình	107.874.728	1.066.470.841
672	đường 35 Hiệp Bình Chánh, Quận Thủ Đức	108.424.185	10.673.012
673	Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, TP. HCM	107.040.075	1.067.126.506
674	đường Âu Cơ, Phường Tây Hồ	210.702.149	1.058.262.501
675	Khu 8A Thái Văn Lung, Phường Bến Nghé, Quận 1	107.793.143	1.067.047.323
676	Lương Định Của, Phường An Khánh, Quận 2	107.877.775	106.734.481
677			
678	Lộc Hà, Mai Lâm, Đông Anh	210.926.941	1.058.833.448
679	Khu tên lửa		
680	TP Biên Hòa	109.574.128	1.068.426.871
681	đường số 3, Khu Ao Sen tên lửa, gần siêu thị AEON	107.478.829	1.066.118.492
682	Đồng Khởi, TP Biên Hòa	109.547.422	1.068.663.303
683	đường Trần Nguyên Hãn, Lê Chân, Hải Phòng	208.496.894	1.066.730.565
684	Lê Lợi, Phường 4, Quận Gò Vấp	108.195.857	1.066.858.909
685	Bùi Đình Túy, Phường 24, Quận Bình Thạnh	108.061.552	1.067.072.486
686	Phố Lý Nam Đế, Hoàn Kiếm	210.348.918	105.844.954
687	Phố Thái Hà, Đống Đa	210.129.882	105.820.014
688	Nam Từ Liêm	210.034.608	1.057.703.287
689	Phùng Khoang, Nam Từ Liêm, Hà Nội	20.988.178	1.057.931.515
690	Phố Triều Khúc, Quận Thanh Xuân, Hà Nội	209.840.997	1.057.999.219
691	Phố X, Phường Y, Quận Nam Từ Liêm	210.302.206	105.764.195
692	Trung Văn, Nam Từ Liêm	20.989.171	1.057.835.348
693	đường phố cổ Hoàn Kiếm	21.034.059	1.058.506.368
694	đường Đại Mỗ, Nam Từ Liêm	209.918.099	1.057.625.361
695	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
696	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
697	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
698	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
699	Tỉnh lộ 43, Bình Chiểu	108.837.441	1.067.289.435
700	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
701	đường Hoa Đào, Phường 2, Quận Phú Nhuận	107.982.517	1.066.861.648
702	đường Đỗ Văn Thi, Phường Hiệp Hòa	109.378.305	1.068.383.495
703	đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân	107.763.605	1.066.055.175
704	đường Số 33, phường An Phú, Quận 2, TP. Thủ Đức	107.927.644	1.067.412.443
705	đường 175 Đình Phong, Phường Tăng Nhơn Phú, Quận 9, gần đường Lê Văn Việt	108.458.281	1.067.959.985
706	Hàng hiếm ở TP-Thủ Đức	108.494.094	1.067.537.055
707	Đường Số 41, Phường Linh Đông, Tp Thủ Đức	108.477.642	1.067.489.953
708	Vũ Trọng Phụng		
709	đường Lê Quang Định, Phường 5	108.062.889	1.066.970.611
710	Phan Văn Hớn, Tân Thới Nhất, Quận 12	108.306.005	1.066.135.139
711	Lê Định, quận Bình Tân	107.652.581	1.066.038.535
712	đường số 13, Phường Bình Trưng Tây, Quận 2	107.568.285	1.067.454.745
713	đường KDC Đông Thủ Thiêm, Phường Bình Trưng Đông, Quận 2	107.732.956	1.067.160.926
714	đường số 42, phường Bình Trưng Đông, quận 2	1.078.451	106.772.792
715	đường Tân Thới Hiệp, Quận 12	108.660.452	1.066.429.508
716	Hải Phát, Gia Lâm	210.105.208	105.952.941
717	Nguyễn Văn Cừ		
718	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
719	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
720	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
721	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
722	na		
723	Hẻm Nhựa, Lê Văn Quới, Bình Tân	10.776.189	1.066.113.201
724	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189
725	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189
726	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
727	Phan Đình Phùng, Phường 2, Quận Phú Nhuận	10.794.454	106.683.644
728	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	107.978.161	1.067.049.832
729	phố Trung Phụng, Quận Đống Đa	210.163.449	1.058.357.421
730	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	107.978.161	1.067.049.832
731	Nguyễn Sỹ Sách		
732	đường Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
733	Số 21, Phường 8, Gò Vấp	108.403.586	1.066.395.056
734	đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh	108.063.178	1.066.903.039
735	đường vành đai 2, khép khín khúc Gò dưa, sau nhà chợ Tam Bình, Khu vực Thu Duc	108.699.622	1.067.359.006
736	đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh	108.063.178	1.066.903.039
737	Số 16 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.777.449	106.602.713
738	na		
739	đường Oto Tải, gần bến xe Mỹ Đình, trung tâm Mỹ Đình	210.284.297	1.057.782.687
740	đường Miếu Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.779.745	1.066.073.872
741	Phan Văn Trị, Phường 5, Quận Gò Vấp	108.256.696	1.066.900.101
742	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	107.941.051	1.066.966.536
743	mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	107.941.051	1.066.966.536
744	Đường Thống Nhất, Phường 11, Quận Gò Vấp	108.394.408	1.066.653.068
745	NGUYỄN VĂN LƯỢNG, GÒ VẤP	108.386.215	106.673.832
746	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.759.904	1.066.134.613
747	đường LÊ VĂN QUỚI, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.759.904	1.066.134.613
748	Nguyễn Văn Quá, Quang Trung, Q12	108.475.817	1.066.351.358
749	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	107.941.051	1.066.966.536
750	Lê Văn Thọ, Phường 11, Quận Gò Vấp	108.420.297	1.066.571.573
751	Mỹ Đình	210.256.221	1.057.677.817
752	đường Trịnh Công Sơn, Quận Tây Hồ	210.775.967	1.058.174.665
753	Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh	108.110.484	1.067.137.928
754	Ngọc Lâm, Quận Long Biên	210.448.412	1.058.686.635
755	đường HimLam, Hùng Vương, Hồng Bàng, Hải Phòng	208.711.952	1.066.411.591
756	đường Liên Khu 8-9, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.835.323	1.066.069.047
757	Đường Hoàng Quốc Việt, Quận Đội Hoàng Quốc Việt, Quận Cầu Giấy	210.460.525	105.793.266
758	Đường Dương Quang Đông, Phường 5, Quận 8	107.386.836	1.066.667.136
759	Phùng Chí Kiên, Cầu Giấy	210.431.373	1.058.025.354
760	Nguyễn Văn Lượng, Gò Vấp	108.386.215	106.673.832
761	Phố Lụa, Vạn Phúc, Hà Đông, Hà Nội	209.804.689	1.057.751.333
762	ngõ 213 phố Giáp Nhất, phường Nhân Chính, Quận Thanh Xuân, Hà Nội	210.063.339	1.058.141.542
763	Tân Phú	107.900.517	1.066.281.901
764	ấp, thành phố Biên Hòa	109.574.128	1.068.426.871
765	Lương Yên, Hai Bà Trưng	210.110.439	1.058.628.054
766	Vọng - Hai Bà Trưng	210.090.571	1.058.607.507
767	đường Hoàng Sa, Phường Tân Định, Quận 1	107.953.364	1.066.900.013
768	đường Liên Khu 8-9, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.835.323	1.066.069.047
769	đường Bùi Minh Trực, Phường 5, Quận 8	107.383.744	1.066.586.009
770	đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp	108.434.536	1.066.511.637
771	Gò Vấp	108.386.779	1.066.652.904
772	P.Tam Hiệp, gần đường Phạm Văn Thuận	109.477.668	106.855.756
773	đường Nguyên Hồng, Đống Đa	210.168.288	1.058.112.865
774	phố Thanh Xuân, phân lô		
775	đường Số 44, Phường 14, Quận Gò Vấp	108.416.617	1.066.359.499
776	đường..., khu vực...		
777	khu phố Tây, Nha Trang	122.529.152	1.091.899.018
778	Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp	108.221.315	1.066.867.717
779	hẻm Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp	108.221.315	1.066.867.717
780	Phố Thanh Lân, Thanh Đàm	209.906.397	1.058.885.995
781	 unclear		
782	đường Nguyễn Văn Cừ,-phường Bồ Đề,Long Biên	210.439.702	1.058.726.071
783	hẻm xe hơi thông Quang Trung, Phường 8, Quận Gò Vấp	108.388.835	1.066.488.544
784	Kinh Dương Vương, Phường An Lạc, Quận Bình Tân	107.343.723	1.066.127.402
785	ngõ Tây Sơn, Đống Đa	210.092.684	1.058.258.111
786	đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp	108.434.536	1.066.511.637
787	Ng yarı Tư Tô ký và Nguyễn Ân Thu - Tân Xuân - Hội Môn	108.754.977	1.066.114.397
788	Hocmon, Quận ???		
789	Lê Trọng Tấn, Quận Tân Phú	108.079.431	1.066.201.184
790	đường CN11, Phường Sơn Kỳ, Quận Tân Phú	108.106.248	1.066.113.533
791	đường tuyến 2 Võ Nguyên Giáp, Lê Chân, Hải Phòng	208.342.957	1.066.828.945
792	HXT tránh, Phường 9, Quận Gò Vấp	108.475.319	1.066.541.837
793	Nguyễn Hồng Đào, Phường ?, Quận Tân Bình	107.937.408	1.066.423.863
794	đường số 4, The Vista, Quận 2	107.935.216	1.067.308.195
795	Chợ Khâm Thiên, Đống Đa	210.159.144	1.058.378.302
796	Chợ Khâm Thiên, Đống Đa	210.159.144	1.058.378.302
797	Đường Nguyễn Thị Nhung, Khu Đô Thị Vạn Phúc City, Tp. Thủ Đức	108.444.043	1.067.089.537
798	đường số 9, đường số 10, Phường Linh Trung, Quận Thủ Đức	108.508.792	1.067.638.893
799	đường Nguyễn Văn Trỗi, Phường 13, Quận Phú Nhuận	107.958.681	1.066.750.014
800	HXH, Tân Bình	108.014.659	1.066.525.974
801	HXH, Tân Bình	108.014.659	1.066.525.974
802	đường NB Cao Lỗ, Phường 4, Quận 8	107.397.268	1.066.781.846
803	đường Nguyễn Trãi, Phường 8, Quận 5	10.754.847	1.066.708.325
804	Phố Huỳnh Thúc Kháng, phường Thành Công, quận Đống Đa, Hà Nội	210.176.779	1.058.125.871
805	Trường Chinh, Đống Đa	210.002.252	1.058.309.453
806			
807	đường ô tô, Phường Quyết Thắng	109.444.518	1.068.222.625
808	đường Nguyễn Hoàng, Phường An Phú, Quận 2	107.967.218	1.067.449.223
809	đường Au Cơ, Quận Tân Phú	107.879.245	1.066.408.945
810	Phường Chánh Phú Hòa, Thị xã Bến Cát, Tỉnh Bình Dương	111.731.896	1.066.645.007
811	Hóc Môn	108.839.675	1.065.870.611
812	đường Quốc Lộ 13, Bình Thạnh	108.202.531	1.067.130.862
813	đường số 6, Phường Bình Thọ, TP.Thủ Đức	10.848.081	1.067.646.457
814	Chúa Liên Phái, Hai Bà Trưng	210.053.124	1.058.488.212
815	Đinh Tiên Hoàng, Phường 3, Quận Bình Thạnh	107.947.047	1.066.960.934
816	Khu đô thị Vsip Từ Sơn	210.785.932	1.059.684.556
817	Mặt Tiền Phú Thọ Hòa	107.863.307	1.066.276.567
818	Nguyễn Thượng Hiền - Thích Quảng Đức, Phường Phú Nhuận	16.459.649	1.075.963.782
819	Giang Ghẹ Trường Chinh	108.062.351	1.066.352.005
820	đường số 3, khu Tên lửa	107.478.829	1.066.118.492
821	dường Hồ Văn Long, Tân Tạo	107.622.382	1.065.843.755
822	Nguyễn Thế Trụy, Quận Tân Phú	107.900.517	1.066.281.901
823	phố Xuân La, Tây Hồ	210.643.188	1.058.105.694
824	đường Giải Phóng, Phường Thanh Xuân	209.940.112	1.058.411.097
825	Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy	210.215.526	1.057.878.867
826	Nguyễn Xiển, Đại Kim	209.792.447	1.058.120.542
827	đường Rộng, Phường Linh Trung, Quận Thủ Đức	109.053.996	1.067.531.189
828	Tân Sơn Nhì, Quận Tân Phú	107.997.882	106.630.604
829	Đường Số 13, Phường Hiệp Bình Chánh, Thành phố Thủ Đức	108.284.007	106.731.251
830	193 Văn Cao, Hải Phòng	208.365.411	1.067.025.035
831	Tân Thới Nhất, Quận 12	108.292.885	1.066.143.944
832	đường Mỹ Đình	210.272.924	1.057.740.842
833	đường Miếu Bình Đông, Quận Bình Tân	107.797.977	1.066.174.302
834	đường Miếu Bình Đông, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh	107.762.432	1.066.172.732
835	 Số 14 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.746.009	1.066.192.286
836	đường Nam Hoà, Phước Long A, Quận 9	108.265.841	1.067.619.652
837	Khu đô thị Hồ Đá, Sở Dầu, Hồng Bàng, Hải Phòng	2.087.409	1.066.508.898
838	Trung Tâm Bưu Điện Hà Đông	209.734.007	1.057.784.172
839	Phường Mai, Đống Đa	210.012.748	1.058.393.044
840	đường Nguyễn Kiệm, Phan Đăng Lưu, Phú Nhuận	107.992.391	1.066.802.549
841	Ngay Aeon MALL, Phường(equly), Quận Tân Phú, TP.HCM	108.013.384	1.066.179.585
842	Tên Lửa, Bình Trị Đông, Quận Bình Tân	107.551.546	106.608.634
843	đường Trương Văn Thành, Phường Hiệp Phú, Quận 9, Thành phố Thủ Đức	108.482.548	1.067.819.426
844	đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp	108.434.536	1.066.511.637
845	đường số 4, Phường Bình Thọ, TP. Thủ Đức	108.465.185	1.067.652.458
846	Phạm Hùng, Quận 8	107.367.562	1.066.713.646
847	đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp	108.455.062	1.066.424.867
848	Phường Bửu Long, Biên Hòa	109.586.438	1.068.053.993
849	đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp	108.434.536	1.066.511.637
850	Lạc Long Quân, Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình	107.821.653	1.066.501.308
851	đường Phạm Văn Đồng, Lê Quang Định	108.195.233	1.066.899.164
852	Tân Sơn Nhì, Quận Tân Phú	107.997.882	106.630.604
853	Vũ Đức Thận-Nguyễn Lam, Long Biên	210.472.893	1.058.971.974
854	đường Tân Hòa Đông, Quận Bình Tân	107.672.441	1.066.174.847
855	Tân Sơn Nhì, Phường Tân Phú	107.997.882	106.630.604
856	phố Thanh Nhàn và Kim Ngưu, đường Trần Khát Chân, Hai Bà Trưng	210.090.989	1.058.564.286
857	đường số 1A, khu Tên Lửa	107.479.292	1.066.169.023
858	Nguyễn Thể TruyệN, Quận TÂN PHÚ	107.959.013	1.066.319.936
859	đường Bùi Tá Hán, Quận An Phú, Quận 2	107.942.636	1.067.448.532
860	Tân Sơn Nhì	107.997.882	106.630.604
861	Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp	108.384.998	1.066.755.728
862	Hẻm Xe Hơi Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp	108.384.998	1.066.755.728
863	ngõ Văn Hương, Đống Đa	210.240.516	1.058.343.155
864	Lê Đức Thọ, Phường 16, Quận Gò Vấp	108.489.499	1.066.663.471
865	Trần Quý Cáp, gần Ga Hà Nội	210.250.833	1.058.398.589
866	đường Trần Quý Cáp	119.476.731	1.084.638.986
867	đường Hàng Bài, Phường Hoàn Kiếm	210.209.907	1.058.522.201
868	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	107.941.051	1.066.966.536
869	Ngõ 26 Nguyên Hồng, thành phố Đống Đa	210.177.865	1.058.105.837
870	Ngõ 26 Nguyên Hồng, Đống Đa	210.177.865	1.058.105.837
871	đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân	107.668.701	1.066.096.908
872	đường Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.783.504	1.066.036.111
873	đường Số 4 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.742.792	1.066.193.948
874	đường 6M, Hòa Bình, Quận Tân Phú	10.770.275	1.066.353.759
875	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189
876	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189
877	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	108.053.797	1.067.115.089
878	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	108.053.797	1.067.115.089
879	Tô Hiến Thành, Cao Thắng, quận 3	107.732.898	1.066.783.556
880	Mỹ Khê, Đà Nẵng	160.544.068	1.082.021.667
881	Khu đô thị HUD Sơn Tây	211.306.498	1.055.052.484
882	đường Số 21, Phường 8, Quận Gò Vấp	108.410.084	1.066.507.007
883	Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	108.053.797	1.067.115.089
884	đường Số 25 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân	10.774.108	1.066.099.113
885	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	107.978.161	1.067.049.832
886	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	107.978.161	1.067.049.832
887	đường Miếu Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân	10.779.745	1.066.073.872
888	na		
889	Phố Lý Nam Đế, Phường Hoàn Kiếm, Hà Nội	210.348.918	105.844.954
890	KĐT Trung Văn, Nam Từ Liêm	209.923.079	1.057.886.708
891	đường Phạm Văn Trị, Phường 11, Quận Bình Thạnh	108.159.197	1.066.952.001
892	đường Man Thịện, Phường Tăng Nhơn Phú, Quận Thủ Đức	108.511.904	106.795.021
893	đường Liêu Bình Hương, Tân Thông Hội	109.682.095	1.065.058.241
894	Tô Hiệu, Tân Phú	107.691.501	1.066.269.722
895	Cô Bác, Phường Cô Giang, Quận 1	107.640.782	1.066.938.507
896	PHẠM VIẾT CHÁNH, PHƯỜNG NGUYỄN CƯ TRINH, QUẬN 1	107.667.458	1.066.836.714
897	phố Phạm Ngũ Lão, Quận 1	107.674.471	106.690.655
898	TRẦN ĐÌNH XU, PHƯỜNG CẦU KHO, QUẬN 1	10.760.602	1.066.913.802
899	Quang Trung, Phường 11, Quận Gò Vấp	108.358.112	1.066.608.026
900	Phan Đình Giót, Hà Đông	209.686.922	1.057.611.004
901	Gần công viên, Metro Bình Phú		
902	đường số 7, Linh Xuân, Quận Thủ Đức	108.849.176	1.067.696.037
903	đường số, Quận Linh Xuyên, Quận Thủ Đức	108.494.094	1.067.537.055
904	đường Nguyễn Văn Cừ, phường Gia Thụy, Quận Long Biên	210.495.394	1.058.834.124
905	đường Văn Quán	209.786.778	1.057.960.298
906	Văn Quán	218.628.802	1.065.377.839
907	Yết Kiêu, Hà Đông	2.097.458	1.057.769.317
908	đường Thanh Hải	164.404.905	1.075.799.017
909	đường Đồng Xoài, PhươngLiêm	11.534.407	1.068.904.917
910	Đương Độc Khởi, Công TY ChangShin		
911	Tu Hoàng, Phương Canh	210.498.859	1.057.314.496
912	Đê La Thành, Đống Đa	210.237.416	1.058.174.236
913	Lạc Long Quân, Tân Bình	107.794.947	1.066.498.878
914	phố Hoàng Ngọc Phách, Quận ?	210.156.937	1.058.122.689
915	đường 8, Phường 11, Quận Gò Vấp	108.368.678	1.066.582.811
916	5.2X16 Lê Đức Thọ, Phường 17, Quận Gò Vấp	10.848.289	1.066.675.573
917	Hẻm lớn, Chợ Thạch Đà Phạm Văn Chiếu, Gò Vấp	108.503.923	1.066.529.399
918	Quan Nhân		
919	 lack of specific address information		
920	địa chỉ không rõ		
921	hẻm 7B Thành Thái, Cư Xá Đồng Tiến	107.692.523	1.066.665.791
922	Уận Nhân Dân, Khu Tên Lùa		
923	Không có thông tin địa chỉ		
924	An Dương Vương, Bình Tân	107.358.416	1.066.214.714
925	Hạ Đỉnh, Thanh Xuân	209.866.719	1.058.099.499
926	Vũ Trọng Phụng, Thanh Xuân	20.999.591	1.058.081.092
927	Nguyễn Sư Huỳnh Liên, Lạc Long Quân, Phường 10, Quận Tân Bình	107.821.653	1.066.501.308
928	hẻm xe hơi, đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.668.701	1.066.096.908
929	Hương Lộ 2, Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.695.049	10.661.276
930	đó phố Tạ Quang Bửu, Bách Khoa	210.033.973	1.058.478.526
931	đường số 64, Khu Dân Cư Văn Minh, Quận 2, An Phú	10.850.085	1.067.587.215
932	đường Hiệp Bình Chánh, Thủ Đức	108.545.614	1.067.338.897
933	Nguyễn Văn Công, Phường 3, Quận Gò Vấp	108.200.329	1.066.745.623
934	phố Kim Ngưu, quận Hai Bà Trưng	210.026.587	1.058.617.634
935	Tô Ngọc Vân, Linh Đông, Thủ Đức	10.856.064	1.067.504.091
936	Ngõ 3, Góc ngõ 3, Thanh Xuân, Quận Đống Đa	210.208.482	105.830.001
937	Cao Xuân Dục, Phường 12, Quận 8	107.444.444	1.066.578.419
938	Cao Xuân Dục, Phường 12, Quận 8	107.444.444	1.066.578.419
939	đường Nguyễn Thượng Hiền, Phường 6, Quận Bình Thạnh	108.083.167	1.066.841.841
940	đường Nguyễn Thượng Hiền, Phường 6, Quận Bình Thạnh	108.083.167	1.066.841.841
941	đường Cộng Hòa, Phường 13, Quận Tân Bình	108.023.555	1.066.414.577
942	Đồng Khởi, Phường Tân Hiệp, TP Biên Hòa, Tỉnh Đồng Nai	10.956.768	1.068.611.827
943	đường số 57, An Phú, Quận 2	107.840.443	1.067.487.971
944	KĐT Việt Hưng, Long Biên	210.627.864	1.059.083.056
945	đường Trường Sa, Phường 1, Quận Bình Thạnh	107.939.433	1.066.978.628
946	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189
947	Đội Cấn, Ba Đình	210.353.698	1.058.192.143
948	đường Số 9, Bình Hưng Hòa	108.000.621	1.066.009.947
949	Ngã 4 hầm Kim Liên, Đống Đa, Kim Hoa & Lê Duẩn	210.079.749	1.058.402.606
950	ngõ Thịnh Quang, Đống Đa	21.006.475	1.058.192.136
951	đường Láng	210.139.679	1.058.067.187
952	Vũ Tông Phan	209.905.719	1.058.137.713
953	ngõ Trần Duy Hưng, Cầu Giấy	210.106.758	1.057.995.616
954	Ngay bưu điện Thạnh Phú, sau trường Tân Phú	107.900.517	1.066.281.901
955	Khương Đình, Thanh Xuân	209.887.356	1.058.187.558
956	Khương Đình, Thanh Xuân	209.887.356	1.058.187.558
957	đường Thái Hà, phường Đống Đa	210.129.882	105.820.014
958	Ngõ Thông, Xã Đàn, Quận Đống Đa	210.129.017	1.058.355.017
959	Ngõ Xã Đàn, Đống Đa	210.142.451	1.058.316.192
960	đường số 8, Phường 11, Quận Gò Vấp	108.414.544	1.066.624.967
961	 Ngõ Thịnh Quang, Đống Đa	21.006.475	1.058.192.136
962	Nguyễn Trọng Tuyển, Phường 2, Quận Tân Bình	107.984.353	1.066.662.555
963	Lê Lợi, Phường 4, Quận Gò Vấp	108.195.857	1.066.858.909
964	 Lê Lợi, Phường 4, Quận Gò Vấp	108.195.857	1.066.858.909
965	đường Nguyễn Xuân Ôn, Phường 2, Quận Bình Thạnh	10.798.622	106.700.069
966	Hẻm Thach Lam, Quận Tân Phú	107.780.407	1.066.274.906
967	Ngay Chung cư Bàu Cát 2, Ni Sư Huỳnh Liên, Hồng Lạc		
968	Khu Tên Lửa, Tân Tạo	107.557.614	1.066.126.331
969	Cần Thơ	100.451.618	1.057.468.535
970	đường Đào Duy Anh, Phường 9, Quận Phú Nhuận	108.068.686	1.066.758.672
971	hẻm 380 Nguyễn Văn Khối, Phường 9, Quận Gò Vấp	108.445.202	1.066.488.008
972	Ngô Gia Tự, Đức Giang, Long Biên	210.656.791	1.058.980.147
973	Đại La - Minh Khai, Quận Hải An	208.300.935	1.067.219.631
974	đoạn đầu Đại La - Minh Khai	209.966.665	10.584.641
975	Khương Trung, Quận Thanh Xuân	209.971.504	1.058.216.911
976	đường Văn Khê	209.534.707	1.057.756.791
977	Ngối bên Coop Mart, Thủ Đức	108.494.094	1.067.537.055
978	71/43 Nguyễn Công Hoan, Phan Xích Long	107.993.126	1.066.909.398
979	An Chân, Sở Dầu, Hồng Bàng, Hải Phòng	208.699.652	1.066.513.487
980	đường Nguyễn Thế Truyện, Quận Tân Phú	107.959.013	1.066.319.936
981	đường MT, Phường Linh Trung	108.637.312	1.067.794.935
982	đường nào?		
983	Khu Nam Hoà, Ngã Tư Bình Thái, Xa Lộ Hà Nội	108.351.999	1.067.664.928
984	Mặt tiên trung tâm Tân Sơn Nhì	107.997.882	106.630.604
