Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2	lat1	lon1	lat2	lon2
Bán nhà ngõ Văn Hương - Đống Đa, 40m, 3 tầng. Giá: 3.7 tỷ	7.5	40.0	3.0		Hà Nội	"""Bán nhà ngõ Văn Hương - Đống Đa, 40m, 3 tầng. Giá: 3.7 tỷ
Bán nhà ngõ Văn Hương, nhà 3 tầng, công năng đầy đủ.
Nhà vị trí đẹp, trung tâm Đống Đa, ngõ xe ba gác tránh xe máy, thông thoáng, đi lại thuận tiện
Nhà gần chợ, trường học các cấp, TTTM... tiện ích quanh khu vực không thiếu thứ gì
Sổ đỏ chính chủ, sẵn sàng giao dịch
Giá: 3.7 tỷ, có thương lượng
Liên hệ trực tiếp hoặc zalo: 0937.158.386"	False	False	True	0	ngõ Văn Hương, Đống Đa	Hà Nội	ngõ Văn Hương, Đống Đa	210.277.644	1.058.341.598	210.240.516	1.058.343.155
Bán Gấp Nhà Lê Đức Thọ, Gò Vấp, 65m2, 2T, 4PN, 4,8 tỷ TL	3.7	65.0	4.0	3.0	Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, TP. HCM	"- Lê Đức Thọ, P16, Nhà 2 tầng, 4 PN, 3WC
- Cách 1 căn là ra đường lớn, đông đúc
- 65m2 ngang 4m
- KV DÂN TRÍ, sát trường học, mầm non xung quanh là siêu thị, ngân hàng, bệnh viện, rất thuận tiện di chuyển
- Pháp Lý Chuẩn, SỔ HỒNG RIÊNG, CÔNG CHƯNG NHANH"	False	False	True	0	Lê Đức Thọ, Phường 16, Quận Gò Vấp	Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, TP. HCM	Lê Đức Thọ, Phường 16, Quận Gò Vấp	108.489.499	1.066.663.471	108.489.499	1.066.663.471
Bán nhà phố Trần Quý Cáp, gần ga Hà Nội, đi bộ ra Quốc Tử Giám 50m2 5 tầng giá 10.5 tỷ	16.5	50.0	4.0			"* Nếu bạn đang cần tìm một vị trí nhà đất vừa ở vừa kinh doanh đa dạng thì đây là một vị trí vô cùng phù hợp với sự lựa chọn hoàn hảo. Nhà sở hữu vị trí vô cùng đắc địa khi nằm ngay gần Ga Hà Nội, cách vài bước chân đi bộ là tới. Với lợi thế vị trí gần Ga Hà Nội nên việc đi lại và vận chuyển hàng hóa sẽ vô cùng nhanh chóng và tiết kiệm chi phí. Bên cạnh đó nhà cũng nằm khà gần Văn Miếu-Quốc Tử Giám, một trung tâm văn hóa du lịch lớn của cả nước. Đây là nơi khách du lịch trong và ngoài nước tìm đến rất nhiều nên việc kinh doanh tại khu vực này cũng dễ tiếp cận nguồn khách hàng phong phú.
* Bên cạnh lợi thế về vị trí nhà cũng sở hữu một hình thửa vô cùng chuẩn mực vuông vắn đạt tỷ lệ vàng trong làng đất thổ cư. Nhà được xây dựng 5 tầng với kết cấu khung cột chắc chắn, diện tích sử dụng mỗi tầng là 50m2 mặt tiền 4m, cùng với trang bị nội thất đầy đủ và hiện đại. Thiết kế cụ thể như sau:
+ Tầng 1: Thông sàn, ô tô đỗ cửa hoặc vào nhà, cầu thang và WC cuối rất phù hợp kinh doanh.
+ Tầng 2: Thông sàn, dùng làm phòng khách , bếp, WC.
+ Tầng 3,4: Tổng 4 phòng ngủ cùng WC khép kín.
+ Tầng 5: Phòng thờ, sân phơi đồ thoáng mát.
* Nhà có pháp lý rõ ràng, sổ đỏ chính chủ sẵn sàng giao dịch. Giá bán hiện tại là 10.5 tỷ.
* Quan tâm liên hệ điện thoại/zalo: 0963146879 gặp anh Dũng."	False	False	True	0	Trần Quý Cáp, gần Ga Hà Nội	Trần Quý Cáp, gần Ga Hà Nội	Trần Quý Cáp, gần Ga Hà Nội	210.250.833	1.058.398.589	210.250.833	1.058.398.589
Bán nhà phố Trần Quý Cáp, gần ga Hà Nội, đi bộ ra Quốc Tử Giám 50m2 5 tầng giá 10.5 tỷ	10.5	50.0	5.0			"* Nếu bạn đang cần tìm một vị trí nhà đất vừa ở vừa kinh doanh đa dạng thì đây là một vị trí vô cùng phù hợp với sự lựa chọn hoàn hảo. Nhà sở hữu vị trí vô cùng đắc địa khi nằm ngay gần Ga Hà Nội, cách vài bước chân đi bộ là tới. Với lợi thế vị trí gần Ga Hà Nội nên việc đi lại và vận chuyển hàng hóa sẽ vô cùng nhanh chóng và tiết kiệm chi phí. Bên cạnh đó nhà cũng nằm khà gần Văn Miếu-Quốc Tử Giám, một trung tâm văn hóa du lịch lớn của cả nước. Đây là nơi khách du lịch trong và ngoài nước tìm đến rất nhiều nên việc kinh doanh tại khu vực này cũng dễ tiếp cận nguồn khách hàng phong phú.
* Bên cạnh lợi thế về vị trí nhà cũng sở hữu một hình thửa vô cùng chuẩn mực vuông vắn đạt tỷ lệ vàng trong làng đất thổ cư. Nhà được xây dựng 5 tầng với kết cấu khung cột chắc chắn, diện tích sử dụng mỗi tầng là 50m2 mặt tiền 4m, cùng với trang bị nội thất đầy đủ và hiện đại. Thiết kế cụ thể như sau:
+ Tầng 1: Thông sàn, ô tô đỗ cửa hoặc vào nhà, cầu thang và WC cuối rất phù hợp kinh doanh.
+ Tầng 2: Thông sàn, dùng làm phòng khách , bếp, WC.
+ Tầng 3,4: Tổng 4 phòng ngủ cùng WC khép kín.
+ Tầng 5: Phòng thờ, sân phơi đồ thoáng mát.
* Nhà có pháp lý rõ ràng, sổ đỏ chính chủ sẵn sàng giao dịch. Giá bán hiện tại là 10.5 tỷ.
* Quan tâm liên hệ điện thoại/zalo: 0963146879 gặp anh Dũng."	False	False	True	0	đường Trần Quý Cáp	đường Trần Quý Cáp	đường Trần Quý Cáp	119.476.731	1.084.638.986	119.476.731	1.084.638.986
Bán nhà tập thể tầng 2 mặt phố Hàng Bài, Hoàn Kiếm, KD đỉnh 120 m2 giá 12 tỷ	13.2	120.0				Bán tập thể tầng 2 mặt phố Hàng Bài mặt phố VIP Hoàn Kiếm, phù hợp kinh doanh cà phê, quán Bar, nhà hàng diện tích sổ đỏ 58m2, diện tích sử dụng 120m2 Mặt tiền 11m. Khu vực này hiện các toà chung cư giao dịch 1tỷ/m2 Giá chào 12 tỷ	False	False	True	0	đường Hàng Bài, Phường Hoàn Kiếm	đường Hàng Bài, Phường Hoàn Kiếm	đường Hàng Bài, Phường Hoàn Kiếm	210.209.907	1.058.522.201	210.209.907	1.058.522.201
Bán toà nhà siêu vị trí mặt tiền Trường Sa - Q. Bình Thạnh giá chỉ 65 tỷ - rẻ nhất trong khu vực	12.0					"Bán toà nhà siêu vị trí mặt tiền Trường Sa - Q. Bình Thạnh.
- Địa chỉ: Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh.
- Diện tích: 7 x 22m. Công nhận: 157.4m².
- Kết cấu: Trệt + lửng + 4 tầng.
- HĐT: 150 triệu/tháng.
- Giá bán: 65 tỷ có bớt lộc thêm cho khách.
Liên hê 0905 713 956 - Văn Thanh để được hỗ trợ xem trong và thương lượng giá tốt nhất."	False	False	True	0	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	Mặt tiền 176A Trường Sa, Phường 1, Quận Bình Thạnh	107.941.051	1.066.966.536	107.941.051	1.066.966.536
Bán nhà phố Nguyên Hồng - Đống Đa 60m, 5 tầng, mt 5.5m. Giá: 23 tỷ	65.0	60.0	5.0		Hà Nội	"""Bán nhà phố Nguyên Hồng - Đống Đa 60m, 5 tầng, mt 5.5m. Giá: 23 tỷ
Bán nhà mặt ngõ 26 Nguyên Hồng, nhà 5 tầng, đầy đủ tiện nghi, hiện đang cho thuê 45tr/ tháng
Diện tích 60m, mặt tiền 5.5m
Ngõ 26 Nguyên Hồng kinh doanh sầm uất, vỉa hè 2 bên, ô tô dừng đỗ ngày đêm.
Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch
Giá: 23 tỷ, có thương lượng.
Liên hệ trực tiếp hoặc zalo: 0937.158.386"	True	True	True	0	Ngõ 26 Nguyên Hồng, thành phố Đống Đa	Hà Nội	Ngõ 26 Nguyên Hồng, thành phố Đống Đa	210.277.644	1.058.341.598	210.177.865	1.058.105.837
Bán nhà phố Nguyên Hồng - Đống Đa 60m, 5 tầng, mt 5.5m. Giá: 23 tỷ	23.0	60.0	5.0		Hà Nội	"""Bán nhà phố Nguyên Hồng - Đống Đa 60m, 5 tầng, mt 5.5m. Giá: 23 tỷ
Bán nhà mặt ngõ 26 Nguyên Hồng, nhà 5 tầng, đầy đủ tiện nghi, hiện đang cho thuê 45tr/ tháng
Diện tích 60m, mặt tiền 5.5m
Ngõ 26 Nguyên Hồng kinh doanh sầm uất, vỉa hè 2 bên, ô tô dừng đỗ ngày đêm.
Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch
Giá: 23 tỷ, có thương lượng.
Liên hệ trực tiếp hoặc zalo: 0937.158.386"	False	True	True	0	Ngõ 26 Nguyên Hồng, Đống Đa	Hà Nội	Ngõ 26 Nguyên Hồng, Đống Đa	210.277.644	1.058.341.598	210.177.865	1.058.105.837
Bán nhà HXH thông đường ĐẤT MỚI, DT: 4x14m, 3 lầu, giá: 5.7 tỷ TL Liên Hệ Ngay	23.0	56.0				"- Bán nhà: Hẻm xe hơi thông đường Đất Mới, DT: 4x14m.
- Hiện trạng: Hẻm 5m thông ra đường Trương Phước Phan, cách mặt tiền đường chỉ 200m, cách ngã 4 Đất Mới - Hương Lộ 2 chưa đến 500m. Bán kính tiện ích nằm đầy đủ trong 1km như chợ, siêu thị, trường học các cấp, bệnh viện, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 2 lầu, sân thượng, 4 phòng ngủ, 4 toilet.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 5.7 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	0	đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân	đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân	đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân	107.668.701	1.066.096.908	107.668.701	1.066.096.908
Bán nhà HXH đường SỐ 2 GÒ XOÀI, DT: 4x12.5m, 1 lửng, giá: 3.4 tỷ TL Liên Hệ Ngay	5.7	50.0				"- Bán nhà: Hẻm xe hơi đường Số 2 Gò Xoài, DT: 4x12.5m.
- Hiện trạng: Hẻm trước nhà 5m xe hơi vô đến nhà, cách mặt tiền đường Gò Xoài chỉ 200, đầu hẻm thông tứ hướng. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học, dịch vụ ăn uống, cửa hàng công nghệ,v.v...
- Kết cấu: 1 trệt, 1 lửng.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 3.4 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	0	đường Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.783.504	1.066.036.111	10.783.504	1.066.036.111
Bán nhà MTNB đường SỐ 4 LÊ VĂN QUỚI, DT: 4x16m, 1 lầu, giá: 5.5 tỷ TL Liên Hệ Ngay	3.4	64.0				"- Bán nhà: Mặt tiền nội bộ đường Số 4 Lê Văn Quới, DT: 4x16m.
- Hiện trạng: Mặt tiền đường rộng 6m, cách mặt tiền đường Lê Văn Quới chỉ vài bước chân, cách ngã 4 Bốn Xã chưa đến 200m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, dịch vụ ăn uống, cửa hàng công nghệ,v.v...
- Kết cấu: 1 trệt, 1 lầu.
- Vị trí: Khu dân cư an ninh, dân trí cao, sầm uất, xe lưu thông thường xuyên.
- Giá: 5.5 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	0	đường Số 4 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Số 4 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Số 4 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.742.792	1.066.193.948	107.742.792	1.066.193.948
BÁN NHÀ ĐƯỜNG 6M HÒA BÌNH TÂN PHÚ,KHU VIP HIỆP TÂN,80M2 ,2 TẦNG, NHĨNH 7 TỶ.	5.5	80.0	3.0	2.0		"BÁN NHÀ ĐƯỜNG 6M HÒA BÌNH TÂN PHÚ,KHU VIP HIỆP TÂN,80M2 ,2 TẦNG, NHĨNH 7 TỶ.

-vi trí nhà tại Hòa Bình, sát ỦY BAN Quận dường xe hơi,nhà đẹp rộng rãi, mát mẽ thông thoáng
giáp ở đường LŨy Bán Bích, Tộ Hiệu,Thach Lam,
- Diện tích : 80m2 công nhận đủ không lộ giới không quy hoạch.
- Kết cấu : 3 Tầng gồm 3 phòng ngủ, 1 phòng khách , bếp, 2 wc,chủ xây chắc chắn thiết kế nội thất đẹp khách mua vào ở ngay
- Gía nhỉnh 7tỷ
-LH : 0901668469 Chị Nhạn gặp trực tiếp chủ thương lượng giá tốt."	False	False	True	0	đường 6M, Hòa Bình, Quận Tân Phú	đường 6M, Hòa Bình, Quận Tân Phú	đường 6M, Hòa Bình, Quận Tân Phú	10.770.275	1.066.353.759	10.770.275	1.066.353.759
Chính chủ cần bán gấp nhà 2 lầu hẻm xe tải đường Lê Văn Sỹ, P. 12, Quận 3, giá chỉ 16 tỷ	4.4					"Chủ ngộp tài chính cần bán gấp nhà 2 lầu hẻm xe tải đường Lê Văn Sỹ, P. 12, Quận 3.
- Diện tích: 4 X 15m.
- Kết cấu: Trệt - 2 lầu, 6 phòng ngủ có để lại nội thất cơ bản cho khách.
- Hẻm rộng 5m xe tải ra vào thoải mái, khu vực yên tĩnh gần mặt tiền đường, thuận tiện di chuyển sang các khu vực khác.
- Giá bán 16 tỷ có thương lượng. Giá siêu hiếm trong khu vực.
Liên hệ: 0905713956 - Văn Thanh để được xem giấy tờ pháp lí và hỗ trợ thương lượng giá tốt nhất."	False	False	True	0	đường Lê Văn Sỹ, Phường 12, Quận 3	đường Lê Văn Sỹ, Phường 12, Quận 3	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189	10.789.607	1.066.747.189
Chính chủ cần bán gấp nhà 2 lầu hẻm xe tải đường Lê Văn Sỹ, P. 12, Quận 3, giá chỉ 16 tỷ	16.0					"Chính chủ cần bán gấp nhà 2 lầu hẻm xe tải đường Lê Văn Sỹ, P. 12, Quận 3, giá chỉ 16 tỷ
Chủ ngộp tài chính cần bán gấp nhà 2 lầu hẻm xe tải đường Lê Văn Sỹ, P. 12, Quận 3.
- Diện tích: 4 X 15m.
- Kết cấu: Trệt - 2 lầu, 6 phòng ngủ có để lại nội thất cơ bản cho khách.
- Hẻm rộng 5m xe tải ra vào thoải mái, khu vực yên tĩnh gần mặt tiền đường, thuận tiện di chuyển sang các khu vực khác.
- Giá bán 16 tỷ có thương lượng. Giá siêu hiếm trong khu vực.
Liên hệ Văn Thanh để được xem giấy tờ pháp lí và hỗ trợ thương lượng giá tốt nhất."	False	False	True	0	đường Lê Văn Sỹ, Phường 12, Quận 3	đường Lê Văn Sỹ, Phường 12, Quận 3	đường Lê Văn Sỹ, Phường 12, Quận 3	10.789.607	1.066.747.189	10.789.607	1.066.747.189
Cần bán nhà mặt tiền đường Xô Viết Nghệ Tĩnh, P. 25 Q. Bình Thạnh giá chỉ 17 tỷ 2	16.0					"Cần bán nhà mặt tiền đường Xô Viết Nghệ Tĩnh, P. 25 Q. Bình Thạnh.
- Diện tích: 4.67 x 17.3m (công nhận 97,9m²).
- Kết cấu: 1 trệt - 1 lầu.
- Nhà có thể khai thác cho thuê 20tr/tháng.
- Giá chủ nhà đang chào: 17 tỷ 2, chủ cần bán gấp nên rất thiện chí sẵn sàng thương lượng giá.
Liên hệ: 0905 713 956 - Văn Thanh để được hỗ trợ pháp lí và thương lượng giá tốt nhất."	False	True	True	0	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	108.053.797	1.067.115.089	108.053.797	1.067.115.089
Cần bán nhà mặt tiền đường Xô Viết Nghệ Tĩnh, P. 25 Q. Bình Thạnh giá chỉ 17 tỷ 2	17.0					"Cần bán nhà mặt tiền đường Xô Viết Nghệ Tĩnh, P. 25 Q. Bình Thạnh.
- Diện tích: 4.67 x 17.3m (công nhận 97,9m²).
- Kết cấu: 1 trệt - 1 lầu.
- Nhà có thể khai thác cho thuê 20tr/tháng.
- Giá chủ nhà đang chào: 17 tỷ 2, chủ cần bán gấp nên rất thiện chí sẵn sàng thương lượng giá.
Liên hệ: 0905 713 956 - Văn Thanh để được hỗ trợ pháp lí và thương lượng giá tốt nhất."	False	True	True	0	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	108.053.797	1.067.115.089	108.053.797	1.067.115.089
✅ Bán nhà đang Ở, CMT8 Quận 10 -Ngang hiếm 5m -3 tầng BTCT -60m2 -Nhỉnh 9 tỷ TL	17.0	60.0	4.0	4.0		"+ Nhà thoáng mát kiên cố, chủ lâu đời -1 trệt, 2 lầu BTCT -4PN, 4WC, ngang lớn 5m, vuông vức
+ 1 căn ra hẻm xe hơi thông Tô Hiến Thành, Cao Thắng, 3 tháng 2 -An ninh, không đường đâm, thóp hậu
+ Thuận tiện di chuyển sang Quận 3, Quận 1, Phú Nhuận, Tân Bình, trung tâm đầy đủ mọi tiện ích.
+ Liên hệ Mr THIÊN PHƯỚC 086 7000 938 để hẹn lịch đến xem nhà sớm nhất

Q10-10"	False	False	True	0	Tô Hiến Thành, Cao Thắng, quận 3	Tô Hiến Thành, Cao Thắng, quận 3	Tô Hiến Thành, Cao Thắng, quận 3	107.732.898	1.066.783.556	107.732.898	1.066.783.556
Quỹ Hàng Đặc Biệt TOWNHOUSE Sun Cosmo Residence Đà Nẵng	27.0	112.0				"TOWNHOUSE + VILLA - SUN COSMO RESIDENCE ĐÀ NẴNG -GÀ ĐẺ TRỨNG VÀNG SỞ HỮU CHỈ TỪ 6TỶ/CĂN
Hót ! 15 suất đầu tiên giao dịch chiết khấu lên đến 15%.
• Townhouse
Diện tích 100m2- 140m2 / 6-7 Tầng mặt tiền từ 5-8m
• Villa
Diện tích 210m2 - 250m2 / 3 tầng mặt tiền từ 10-16m
Vị trí ""vàng"" tiếp giáp 3 mặt đường lớn"" nằm trong lõi khu du lịch biển Mỹ Khê
Với số lượng giới hạn chỉ 85 ￼căn Townhouse
45 căn Villa
Townhouse luôn mang lại lợi nhuận cao từ hoạt động cho thuê kinh doanh, do tận dụng được lượng khách hàng ổn định từ cư dân của tòa nhà P1 + P2.
Tiềm năng tăng giá tốt, tính thanh khoản cao
Giá cho thuê giao động 75tr-95tr/tháng/Căn
TOWNHOUSE ""LỢI NHUẬN KÉP"" SUN COSMO RESIDENCE
Pháp lý sở hữu lâu dài
Hàng mới ký trực tiếp CĐT
Vay ngân hàng 70% trong 20 tháng 0% lãi suất và ân hạn nợ gốc , bàn giao Q2/2024 sẵn sàng khai thác
Qúy Anh Chị quan tâm đầu tư liên hệ em qua sđt/zalo: 0964 502 963"	False	False	True	1	Mỹ Khê, Đà Nẵng	Mỹ Khê, Đà Nẵng	Mỹ Khê, Đà Nẵng	160.544.068	1.082.021.667	160.544.068	1.082.021.667
Chỉ 3.5 tỷ sở hữu ngay căn liền kề dự án Hud Sơn Tây, đã xây dựng cả 3 tầng hoàn thiện mặt ngoài	5.5	75.0				"Lần đầu tiên ra mắt quỹ NĐT liền kề GĐ2 KDT HUD Sơn Tây - sổ đỏ lâu dài.
- Giá từ 3,562 tỷ/căn 75m².
- Diện tích đa dạng: Từ 75m 85m 95m - 106m - 122m - 134m - 167m².
- Tiến độ thanh toán giãn linh hoạt 8 đợt.

- CĐT uy tín: Tổng công ty phát triển nhà Hà Nội - HUD.
Khu đô thị trung tâm HUD Sơn Tây Sự lựa chọn hàng đầu cho quý NĐT.
Gần bến xe Sơn Tây, thuận tiện giao thông đi lại và kinh doanh.

Địa thế vàng: Bao quanh là tuyến phố kinh doanh sầm uất Quang Trung và Chùa Thông, chỉ cách thành cổ 1km, hội tụ thiên thời địa lợi, phong thủy thuận hòa.
Bán kính 2km đầy đủ tiện ích chợ, nhà hát Sơn Tây, sân vận động, trường tiểu học, THCS, THPT.
Kết nối nhanh đến trung tâm Tp Hà Nội chỉ 30km giao thông thônh thoáng.

- Phong cách thiết kế châu Âu độc đáo tầm view mở, dự án được xây dựng đồng bộ đầu tiên của Thị Xã.
- Đón đầu quy hoạch TX Sơn Tây lên thành phố trực thuộc Thủ đô.
- Dân cư đông đúc, tiện ích đầy đủ: Công viên, Trung tâm thương mại, phòng khám đa khoa...
Liên hệ: 0985 028 591"	False	False	True	0	Khu đô thị HUD Sơn Tây	Khu đô thị HUD Sơn Tây	Khu đô thị HUD Sơn Tây	211.306.498	1.055.052.484	211.306.498	1.055.052.484
Bán nhà Gò Vấp Phường 8, đường số 21, 4 tầng 63m2, chỉ 6.5 tỷ	3.5	63.0	4.0	5.0	Đường Số 21	"MS 25023
* Vị trí: gần mặt tiền đường Số 21, kết nối với đường Nguyễn Văn Khối, Quang Trung.
* Diện tích 63 m2, 4 tầng, gồm 4 phòng ngủ, 5WC,sân thượng trước, sau.
* Hẻm thẳng một trục, an ninh, yên tĩnh, dân cư thân thiện.
* Sổ hồng công nhận đủ, hoàn công đủ."	False	False	True	0	đường Số 21, Phường 8, Quận Gò Vấp	Đường Số 21	đường Số 21, Phường 8, Quận Gò Vấp	108.410.084	1.066.507.007	108.410.084	1.066.507.007
Nhà Sát Mặt Tiền Xô Viết Nghệ Tĩnh Phường 25 Bình Thạnh Ngang 4.1 Nở Hậu 16m x 14m, 8.X Tỷ	6.5	109.0	2.0	2.0	Xô Viết Nghệ Tĩnh	"Nhà Sát Mặt Tiền Xô Viết Nghệ Tĩnh Phường 25 Bình Thạnh Ngang 4.1 Nở Hậu 16m x 14m, 8.X Tỷ
Chú Tám đã giảm giá 1tỷ6 để nhượng lại căn nhà sát mặt tiền, tương lai của tương lai, chỉ 90tr/m2 - gpxd ít nhất 5 tầng đường Xô Viết Nghệ Tỉnh giao các tuyến đường D5, đường Điện Biên Phủ, đường Bạch Đằng, đường Ung Văn Khiêm di chuyển nhanh qua quận 1, quận 3, quận Phú Nhuận, đi đến sân bay Tân Sơn Nhất chỉ 5 - 10 phút.
Thông số diện tích 109m2 ( Ngang 4.1 nở hậu 16m x dài 14m ) công nhận đủ.
Nhà cũ 1 trệt 1 lầu đã đập thành đất trống
Phù hợp xây mới CHDV, khai thác cho thuê rất dễ và được giá vì xung quanh có rất nhiều trường ĐH, văn phòng công ty.
Sổ hồng chính chủ, pháp lý chuẩn, công chứng mua bán ngay
Liên hệ Xuân Nghị để xem và tìm nhà ưng ý miển phí 0987581589"	False	False	True	0	Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	Xô Viết Nghệ Tĩnh	Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh	192.342.489	1.049.200.365	108.053.797	1.067.115.089
Bán nhà MTNB đường SỐ 25 LÊ VĂN QUỚI, DT: 4x16m, 1 lầu, giá: 4.45 tỷ TL Liên Hệ Ngay	8.99	60.0				"- Bán nhà: Mặt tiền nội bộ đường Số 25 Lê Văn Quới, DT: 4x16m.
- Hiện trạng: Mặt tiền đường 5m thông tứ hướng, cách mặt tiền đường Miếu Gò Xoài và Gò Xoài chỉ vài chục m, thuận lợi để kinh doanh hoặc buôn bán nhỏ. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học các cấp, bệnh viện, dịch vụ ăn uống, cửa hàng công nghệ,v.v...
- Kết cấu: 1 trệt, 1 lầu.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 4.45 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	0	đường Số 25 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân	đường Số 25 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân	đường Số 25 Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân	10.774.108	1.066.099.113	10.774.108	1.066.099.113
Chính chủ cần bán gấp nhà mặt tiền đường Điện Biên Phủ, P. 17 Q. Bình Thạnh giá chỉ 27 tỷ TL mạnh	4.45					"Chủ định cư nước ngoài cần bán gấp nhà mặt tiền đường Điện Biên Phủ, P. 17 Q. Bình Thạnh.
- Diện tích: 5.1 X 20m (Công nhận đủ: 108m²).
- Kết cấu nhà trệt - 5 lầu - sân thượng. Có khoảng sân để xe trong nhà.
+ Phòng ngủ master lớn, ngăn phòng rộng rãi thoáng mát.
- Nhà đang cho thuê 50tr/tháng cuối tháng 9 hết hợp đồng.
- Giá chào bán: 27 tỷ.
Chủ đang muốn bán gấp nên rất thiện chí, sẵn sàng vào việc thương lượng sâu.
Liên hệ: 0905 713 956 - Văn Thanh."	True	True	True	0	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh	107.978.161	1.067.049.832	107.978.161	1.067.049.832
